param,ann_mse_cv_results,ann_adj_r2_cv_results,best_epochs,best_epoch_mean,ann_mse_mean,ann_mse_95_ci_lower,ann_mse_95_ci_upper,ann_adj_r2_mean,ann_adj_r2_95_ci_lower,ann_adj_r2_95_ci_upper
"{'num_layers': 2, 'num_units': 50}","[0.5613160518444666, 0.4521435692921236, 0.3968095712861416, 0.4361914257228315, 0.44317048853439683, 0.40079760717846463, 0.4476570289132602, 0.44167497507477566, 0.5523429710867398, 0.6545363908275175, 0.4107676969092722, 0.47706879361914256, 0.40079760717846463, 0.6026919242273181, 0.3180458624127617, 0.41425722831505485, 0.48454636091724823, 0.452642073778664, 0.49700897308075775, 0.4765702891326022, 0.4646061814556331, 0.42622133599202394, 0.5533399800598205, 0.5608175473579262, 0.4695912263210369, 0.4675972083748754, 0.5742771684945165, 0.4666001994017946, 0.46560319042871384, 0.43818544366899304, 0.5094715852442672, 0.47058823529411764, 0.423728813559322, 0.4611166500498505, 0.4087736789631107, 0.4611166500498505, 0.4322033898305085, 0.43968095712861416, 0.49601196410767695, 0.42123629112662014, 0.4860418743768694, 0.43768693918245266, 0.3818544366899302, 0.536889332003988, 0.5872382851445663, 0.4187437686939183, 0.543369890329013, 0.5119641076769691, 0.514456630109671, 0.47557328015952144]","[0.9069499240055525, 0.9209815653877206, 0.9264490853189551, 0.9270872699387684, 0.9232031783312356, 0.9309555564954217, 0.9259446213442609, 0.9197348072255787, 0.9049099955625007, 0.88604573442799, 0.9242625654191139, 0.9225373022985456, 0.9275347741363417, 0.9034243039864023, 0.9422664549453841, 0.9277218541287582, 0.9149701479416552, 0.921895666859791, 0.9164786929209471, 0.917026676703385, 0.9215695579309793, 0.9267387971426143, 0.9039321313870465, 0.897559749579156, 0.920772984605851, 0.9209575772034986, 0.9047893792923952, 0.9176385314210095, 0.9167165764712295, 0.9231568994898366, 0.9111902023993464, 0.9171802916354682, 0.924594186456024, 0.9215194608490228, 0.9318590961377802, 0.9201019237823858, 0.926114239840047, 0.9234838216891451, 0.915538766222459, 0.9259103529309087, 0.915178726236983, 0.9200904611604215, 0.9354868233703455, 0.9077533585467392, 0.9015110963692408, 0.9279606513685622, 0.9076626078644504, 0.914062955335027, 0.9066705825978592, 0.917311285667377]","[99, 84, 73, 83, 53, 48, 104, 95, 102, 43, 62, 109, 116, 56, 49, 53, 54, 80, 68, 83, 72, 54, 56, 65, 71, 56, 59, 65, 65, 87, 90, 50, 64, 81, 60, 63, 83, 85, 47, 57, 51, 46, 90, 79, 76, 57, 76, 67, 59, 56]",70,0.472512463,0.454489629,0.490535296,0.918307865,0.915368572,0.921247159
"{'num_layers': 3, 'num_units': 50}","[0.5603190428713859, 0.4082751744765703, 0.5348953140578265, 0.4456630109670987, 0.41824526420737784, 0.419740777666999, 0.4626121635094716, 0.3983050847457627, 0.5737786640079761, 0.5997008973080757, 0.38384845463609174, 0.5294117647058824, 0.5134596211365903, 0.5418743768693918, 0.44017946161515453, 0.4122632103688933, 0.43120638085742774, 0.4082751744765703, 0.5124626121635095, 0.4476570289132602, 0.3713858424725823, 0.423728813559322, 0.5772681954137587, 0.646061814556331, 0.4371884346959123, 0.4426719840478564, 0.6291126620139581, 0.40229312063808575, 0.3629112662013958, 0.617148554336989, 0.4032901296111665, 0.42073778664007977, 0.48055832502492524, 0.5962113659022931, 0.41924227318045865, 0.49750747756729813, 0.3918245264207378, 0.4167497507477567, 0.5139581256231306, 0.5214356929212363, 0.5139581256231306, 0.3963110667996012, 0.41126620139581255, 0.5139581256231306, 0.5682951146560319, 0.3489531405782652, 0.56580259222333, 0.4740777666999003, 0.4391824526420738, 0.4765702891326022]","[0.9071151994513686, 0.9286481830788789, 0.9008541062151241, 0.9255040220860102, 0.9275224596399398, 0.9276922619019217, 0.9234706109214635, 0.9276163780736313, 0.9012196795058108, 0.895592550279415, 0.9292259409863078, 0.9140382602309879, 0.9071651957219303, 0.9131697422938125, 0.9200960497128121, 0.9280697633748293, 0.9243304300098063, 0.92955126779534, 0.9138817415473758, 0.9220606230958575, 0.9373061380456862, 0.9271672252294996, 0.8997778451767566, 0.8819888315151876, 0.9262398168782711, 0.9251709259666383, 0.895698087384551, 0.9289896312572166, 0.9350852972923502, 0.8917727435363115, 0.9296994850695414, 0.9259535658266261, 0.9144809361689495, 0.8985267839734392, 0.9301140242096013, 0.9137964539835903, 0.9330170617235028, 0.9274744613742917, 0.9124828823872916, 0.9082866617345924, 0.9103069402567482, 0.927644551961885, 0.9305177927944321, 0.9116933265196733, 0.9046881577766847, 0.9399672094738019, 0.9038505136937167, 0.9204224639957261, 0.9203263403766607, 0.9171379340650024]","[60, 87, 59, 74, 78, 84, 61, 81, 78, 54, 67, 86, 59, 71, 56, 58, 103, 116, 65, 72, 87, 58, 69, 59, 154, 81, 70, 73, 83, 38, 70, 78, 69, 76, 75, 56, 71, 82, 68, 57, 61, 63, 48, 75, 69, 72, 68, 65, 65, 59]",72,0.47443669,0.452578356,0.496295023,0.917928171,0.914187828,0.921668514
"{'num_layers': 3, 'num_units': 150}","[0.5962113659022931, 0.4556331006979063, 0.551345962113659, 0.6096709870388833, 0.4785643070787637, 0.5473579262213359, 0.5967098703888335, 0.4541375872382851, 0.6111665004985045, 0.5149551345962113, 0.42572283150548357, 0.5244267198404786, 0.4955134596211366, 0.678963110667996, 0.45014955134596213, 0.43768693918245266, 0.452642073778664, 0.4780658025922233, 0.4910269192422732, 0.5533399800598205, 0.5583250249252243, 0.48703888334995016, 0.5633100697906281, 0.650049850448654, 0.5757726819541376, 0.5707876370887338, 0.7173479561316052, 0.4386839481555334, 0.43668993020937186, 0.5009970089730807, 0.4356929212362911, 0.46859421734795614, 0.4561316051844467, 0.638085742771685, 0.471086739780658, 0.5732801595214357, 0.44666001994017945, 0.4391824526420738, 0.4930209371884347, 0.5099700897308076, 0.5832502492522432, 0.5214356929212363, 0.48703888334995016, 0.6211365902293121, 0.4950149551345962, 0.4666001994017946, 0.5737786640079761, 0.5109670987038883, 0.660518444666002, 0.5672981056829511]","[0.9011652834019901, 0.9203717207986511, 0.8978048848778446, 0.8980888355829872, 0.9170697988728752, 0.9057079614825536, 0.901286984130379, 0.917469988016368, 0.8947830817325143, 0.9103467202316174, 0.9215051345484505, 0.9148476928088506, 0.9104099073277657, 0.8912025657812076, 0.9182862207142347, 0.9236339204874245, 0.920568821328213, 0.9175087494697571, 0.9174839644203941, 0.9036606811095788, 0.9057488249814344, 0.9162851518226129, 0.9022011787994257, 0.8812603675121949, 0.90285859577469, 0.9035143133241, 0.8810693722237473, 0.9225661406522312, 0.9218883522363994, 0.9121418475395744, 0.9240511124237072, 0.9175312226031145, 0.9188278595379552, 0.8913999025802694, 0.9214717632319539, 0.9006672565943176, 0.9236428591657233, 0.9235705747257786, 0.9160480801949868, 0.9103033030157628, 0.8982144714843796, 0.9048002532731216, 0.9177162224971639, 0.89327825882009, 0.9169783690107436, 0.9197275829535407, 0.9024951024330115, 0.9142303108260981, 0.8801729863780651, 0.9013629382489257]","[28, 64, 52, 34, 61, 57, 32, 32, 50, 57, 54, 79, 43, 50, 71, 35, 45, 82, 48, 39, 47, 66, 57, 29, 51, 39, 39, 29, 34, 47, 68, 39, 34, 30, 57, 46, 62, 48, 77, 41, 42, 79, 59, 60, 91, 48, 69, 43, 47, 31]",50,0.526420738,0.505639354,0.547202122,0.90898455,0.905574793,0.912394306
"{'num_layers': 2, 'num_units': 150}","[0.6231306081754736, 0.42821535393818544, 0.4247258225324028, 0.5179461615154536, 0.5089730807577268, 0.5289132602193419, 0.5902293120638086, 0.467098703888335, 0.5897308075772681, 0.5523429710867398, 0.37387836490528414, 0.5877367896311066, 0.4900299102691924, 0.6211365902293121, 0.3439680957128614, 0.45862412761714855, 0.5363908275174477, 0.5159521435692921, 0.5862412761714856, 0.48504486540378866, 0.5054835493519442, 0.4641076769690927, 0.6360917248255235, 0.6301096709870389, 0.4915254237288136, 0.532901296111665, 0.7637088733798604, 0.3918245264207378, 0.49202392821535396, 0.4995014955134596, 0.5204386839481555, 0.5284147557328016, 0.576271186440678, 0.6919242273180458, 0.4187437686939183, 0.6261216350947159, 0.41575274177467597, 0.47357926221335994, 0.6331006979062812, 0.5483549351944168, 0.5413758723828515, 0.557826520438684, 0.5149551345962113, 0.5214356929212363, 0.5064805583250249, 0.3893320039880359, 0.6086739780658026, 0.5872382851445663, 0.6455633100697906, 0.4546360917248255]","[0.8967028463649562, 0.9251633568556251, 0.9212746491102383, 0.9134213411044348, 0.9118002756762559, 0.9088853799025403, 0.9023590553135914, 0.9151145760387891, 0.8984733977892043, 0.9038375276056458, 0.9310642282334167, 0.904567899069995, 0.9114013469851044, 0.9004687202374336, 0.9375608995490831, 0.9199808734036794, 0.905872303688499, 0.9109713823787264, 0.9014833930541963, 0.9155512096573155, 0.9146690254742629, 0.9202266902219578, 0.8895652249097941, 0.8849026875271584, 0.9170723596829822, 0.9099186034440725, 0.8733830981562063, 0.9308374847189247, 0.9119906434444363, 0.9124041106812473, 0.9092784455038333, 0.9070032935737248, 0.8974480935801926, 0.8822367693604797, 0.9301971228728481, 0.8915113689412719, 0.9289265006073809, 0.9175846151980588, 0.8921952091482641, 0.9035519387266268, 0.9055221504547318, 0.8981562938935211, 0.9129998544929071, 0.9104085543545861, 0.9150554107904488, 0.9330205579986274, 0.8965651781674256, 0.9014276157591644, 0.8828860508374298, 0.9209516693172408]","[77, 26, 67, 52, 43, 45, 57, 46, 38, 47, 57, 84, 40, 39, 81, 57, 37, 43, 47, 34, 72, 38, 39, 36, 81, 50, 36, 49, 58, 104, 33, 29, 40, 47, 79, 33, 59, 72, 32, 32, 76, 30, 54, 61, 61, 73, 71, 37, 32, 80]",52,0.527956132,0.50373229,0.552179973,0.908757026,0.904783376,0.912730675
"{'num_layers': 3, 'num_units': 70}","[0.6555333998005982, 0.4317048853439681, 0.5034895314057827, 0.4765702891326022, 0.48205383848454636, 0.46161515453639085, 0.5094715852442672, 0.5159521435692921, 0.518444666001994, 0.6385842472582254, 0.37587238285144564, 0.6051844466600199, 0.5229312063808574, 0.6734795613160518, 0.4945164506480558, 0.5498504486540379, 0.5922233300099701, 0.4760717846460618, 0.5084745762711864, 0.555333998005982, 0.43020937188434694, 0.6146560319042872, 0.5812562313060817, 0.5259222333000997, 0.5289132602193419, 0.6430707876370887, 0.6679960119641076, 0.4461615154536391, 0.5847457627118644, 0.5009970089730807, 0.47308075772681957, 0.44965104685942175, 0.5573280159521435, 0.6096709870388833, 0.5498504486540379, 0.6216350947158524, 0.38733798604187436, 0.5338983050847458, 0.5114656031904287, 0.5114656031904287, 0.5438683948155534, 0.43668993020937186, 0.4581256231306082, 0.4985044865403789, 0.6390827517447657, 0.39930209371884345, 0.6869391824526421, 0.5857427716849452, 0.48055832502492524, 0.6241276171485544]","[0.8913313943759339, 0.9245535122665557, 0.9066753469499305, 0.9203376343559573, 0.9164650994896566, 0.9204786633268165, 0.9157187115966979, 0.9062364847386838, 0.9107458442102894, 0.8888229899484046, 0.9306965707839949, 0.9017348850474759, 0.9054527090410728, 0.8920812528417119, 0.9102324816705658, 0.904064025395933, 0.8960746252620231, 0.9178528214219167, 0.9145519225470071, 0.9033135123928566, 0.9273761035348016, 0.8943496337740858, 0.8990854641417083, 0.9039338096053418, 0.9107644762917282, 0.8912956019109948, 0.8892515349408071, 0.9212462453224396, 0.8954052935768225, 0.9121418475395744, 0.9175337593708216, 0.9208650667957545, 0.9008191770092174, 0.8962360006684919, 0.9083421744389897, 0.8922887556287947, 0.9337840419327756, 0.9070874977653904, 0.9129073106977315, 0.9100402628486537, 0.9050871695636394, 0.9202724874447941, 0.9226010322158583, 0.9143485223275202, 0.8928159809383418, 0.9313053354121646, 0.8832652051717548, 0.901678648995771, 0.9128201953724187, 0.8914818969135807]","[47, 61, 73, 94, 72, 45, 89, 43, 64, 68, 56, 52, 73, 72, 57, 55, 47, 106, 52, 45, 54, 50, 34, 62, 42, 70, 51, 49, 34, 51, 59, 42, 79, 47, 54, 45, 49, 63, 35, 44, 63, 57, 44, 80, 53, 80, 70, 50, 87, 55]",58,0.532592223,0.51035778,0.554826667,0.90795702,0.904399381,0.91151466
"{'num_layers': 2, 'num_units': 100}","[0.6430707876370887, 0.5139581256231306, 0.4915254237288136, 0.5029910269192422, 0.5702891326021934, 0.4252243270189432, 0.5937188434695913, 0.4835493519441675, 0.5483549351944168, 0.6271186440677966, 0.3968095712861416, 0.5672981056829511, 0.5214356929212363, 0.6271186440677966, 0.4172482552342971, 0.4456630109670987, 0.5667996011964108, 0.5, 0.5269192422731804, 0.5304087736789631, 0.4187437686939183, 0.4077766699900299, 0.5817547357926222, 0.6101694915254238, 0.6181455633100698, 0.6281156530408774, 0.6769690927218345, 0.39980059820538383, 0.5024925224327019, 0.5259222333000997, 0.37387836490528414, 0.5787637088733799, 0.47258225324027914, 0.5189431704885344, 0.4810568295114656, 0.5159521435692921, 0.4641076769690927, 0.6375872382851445, 0.522432701894317, 0.5827517447657029, 0.5483549351944168, 0.48703888334995016, 0.5563310069790628, 0.5279162512462612, 0.559322033898305, 0.4506480558325025, 0.6041874376869392, 0.7053838484546361, 0.6679960119641076, 0.5239282153539382]","[0.8933973374486348, 0.9101786040956339, 0.9088929624679518, 0.9159212061351056, 0.901174843656843, 0.9267476239932769, 0.9017817862149385, 0.9121250146826312, 0.9055965659916524, 0.8908191423537025, 0.9268361675650664, 0.9078865726392319, 0.9057231016748923, 0.8995101525350655, 0.9242586564095397, 0.9222422835031406, 0.9005360681169363, 0.9137239579960026, 0.9114523354237123, 0.9076531213518846, 0.9293116187360758, 0.9299091649855655, 0.8989989165123273, 0.8885450075421217, 0.8957096612646023, 0.8938236111688787, 0.8877638689922507, 0.9294295963671471, 0.9101181039432541, 0.9077707951783591, 0.9348264694711446, 0.8981422866406552, 0.9159003397180125, 0.9116775770203598, 0.9198097899670218, 0.9106005309348857, 0.9206601583518844, 0.889042866145597, 0.911039826131796, 0.8975020148831151, 0.9043042039596731, 0.911080160083977, 0.9060095233437409, 0.9092950851448438, 0.9061930816012632, 0.9224719390918812, 0.8973275970015724, 0.8815959900672475, 0.8788164541483828, 0.908903732952215]","[68, 56, 69, 54, 41, 94, 74, 65, 70, 33, 56, 45, 92, 62, 63, 45, 84, 69, 39, 59, 54, 63, 62, 78, 36, 58, 31, 60, 97, 32, 59, 54, 78, 49, 44, 47, 59, 26, 73, 45, 103, 68, 61, 70, 70, 43, 48, 30, 33, 40]",58,0.532971087,0.510579845,0.555362328,0.90786075,0.904175975,0.911545524
"{'num_layers': 1, 'num_units': 50}","[0.6051844466600199, 0.5488534396809571, 0.6001994017946162, 0.536889332003988, 0.5663010967098704, 0.4860418743768694, 0.6450648055832503, 0.5149551345962113, 0.7018943170488534, 0.7108673978065803, 0.5603190428713859, 0.5712861415752741, 0.49202392821535396, 0.5712861415752741, 0.4102691924227318, 0.4930209371884347, 0.4456630109670987, 0.43519441674975073, 0.46360917248255235, 0.5343968095712861, 0.37387836490528414, 0.3678963110667996, 0.5279162512462612, 0.6246261216350947, 0.4790628115653041, 0.5319042871385843, 0.5548354935194417, 0.503988035892323, 0.4411764705882353, 0.5269192422731804, 0.48255234297108673, 0.5453639082751744, 0.452642073778664, 0.6435692921236291, 0.5079760717846461, 0.53938185443669, 0.46859421734795614, 0.44715852442671983, 0.6630109670987039, 0.6191425722831505, 0.5837487537387837, 0.3988035892323031, 0.5029910269192422, 0.6455633100697906, 0.6385842472582254, 0.532901296111665, 0.5742771684945165, 0.6241276171485544, 0.5488534396809571, 0.5667996011964108]","[0.8996778043896454, 0.9040801582049398, 0.8887496215125903, 0.9102548453989184, 0.9018659286662357, 0.9162707308246718, 0.8932876837633338, 0.9064176702754206, 0.879163604469315, 0.8762385508715261, 0.8966882567124805, 0.9072390265769417, 0.9110408234733449, 0.9084567844238354, 0.9255255367085439, 0.9139794389089554, 0.9217935311315224, 0.9249062964411867, 0.9220914587928595, 0.90695878391844, 0.9368853738714963, 0.9367640143757302, 0.9083460604854795, 0.8859043255312732, 0.9191749874800668, 0.910087137394598, 0.9080126555142674, 0.9110390547720519, 0.9210858353073214, 0.9075959530839106, 0.9158826965974239, 0.9040203803487311, 0.9194488485906703, 0.8904666204930686, 0.9153224621517048, 0.9065408449000448, 0.9198931781426115, 0.9221825261396408, 0.8871020694229853, 0.8911013708167913, 0.8981274753061611, 0.9271894862509534, 0.91502115506616, 0.8890813364141386, 0.892899587817485, 0.9083213527535631, 0.9024103892292173, 0.8952354625895363, 0.9004305343413205, 0.9014496140501128]","[62, 82, 103, 51, 66, 69, 50, 71, 107, 33, 58, 50, 59, 66, 70, 57, 56, 83, 68, 62, 71, 55, 80, 96, 73, 76, 73, 58, 58, 61, 76, 51, 50, 69, 68, 54, 84, 62, 90, 44, 89, 84, 81, 73, 59, 61, 77, 67, 57, 46]",67,0.536231306,0.5133312,0.559131413,0.907234186,0.903330424,0.911137949
"{'num_layers': 1, 'num_units': 70}","[0.5468594217347956, 0.4391824526420738, 0.4591226321036889, 0.5333998005982054, 0.5413758723828515, 0.5598205383848455, 0.5902293120638086, 0.41425722831505485, 0.7128614157527418, 0.5727816550348953, 0.4511465603190429, 0.5129611166500498, 0.56580259222333, 0.5289132602193419, 0.3793619142572283, 0.49750747756729813, 0.5932203389830508, 0.5324027916251246, 0.5667996011964108, 0.4317048853439681, 0.41924227318045865, 0.5244267198404786, 0.6470588235294118, 0.6899302093718843, 0.5443668993020937, 0.5503489531405783, 0.5937188434695913, 0.38334995014955137, 0.4995014955134596, 0.5473579262213359, 0.5363908275174477, 0.5114656031904287, 0.4576271186440678, 0.6390827517447657, 0.6326021934197408, 0.6390827517447657, 0.42572283150548357, 0.5194416749750748, 0.635593220338983, 0.6326021934197408, 0.481555333998006, 0.514456630109671, 0.6141575274177468, 0.6086739780658026, 0.6345962113659023, 0.4456630109670987, 0.6111665004985045, 0.5503489531405783, 0.47756729810568294, 0.5558325024925225]","[0.9093464179698856, 0.9232467024328356, 0.9148990044959266, 0.9108381472394083, 0.9061852099749401, 0.9035610571447246, 0.9023590553135914, 0.9247174094858417, 0.877275535789148, 0.9002791689701147, 0.9168175020683229, 0.9167093877379346, 0.8977014535382436, 0.915246638982277, 0.9311360066041335, 0.9131966431052957, 0.8958996667186933, 0.9081327887734105, 0.9047505254273991, 0.9248379728296354, 0.9292274659012378, 0.9098587305193335, 0.8876611770634112, 0.8739757274822684, 0.9081572178233432, 0.9069692593098746, 0.9015661030705233, 0.9323333660926884, 0.9106531152293063, 0.9040116901477141, 0.9064977082012688, 0.9099862067987186, 0.9185617213725059, 0.8912302149280511, 0.8945477963400524, 0.8892655851773175, 0.9272221001423301, 0.9096033358277655, 0.8917707808378244, 0.8887340093128085, 0.9159616918409492, 0.9060744372637299, 0.896239903906352, 0.8954195457619021, 0.8935684428506311, 0.9233295503851127, 0.8961416121484553, 0.9076197689287925, 0.9133628082642916, 0.903356481676232]","[77, 62, 59, 60, 72, 56, 59, 83, 86, 47, 67, 91, 55, 51, 57, 109, 37, 77, 63, 68, 80, 40, 44, 67, 84, 59, 72, 106, 49, 84, 112, 48, 79, 50, 67, 32, 54, 76, 81, 42, 77, 78, 65, 50, 53, 43, 80, 77, 46, 66]",66,0.539052841,0.516620813,0.56148487,0.906800877,0.903060124,0.91054163
