param,mlp_mse_cv_results,mlp_adj_r2_cv_results,mlp_mse_mean,mlp_mse_95_ci_lower,mlp_mse_95_ci_upper,mlp_adj_r2_mean,mlp_adj_r2_95_ci_lower,mlp_adj_r2_95_ci_upper
"{'hidden_layer_sizes': [180, 120, 60], 'max_iter': 1000}","[11.546774193548387, 16.261290322580646, 12.333870967741936, 13.051612903225806, 12.824193548387097, 11.790322580645162, 12.135483870967741, 11.889516129032257, 19.713709677419356, 14.220967741935484, 10.887903225806452, 11.425806451612903, 15.99758064516129, 14.475806451612904, 10.741935483870968]","[0.3785460703713892, 0.2924744773986693, 0.29693654203023756, 0.36331545371204144, 0.38118512480773703, 0.40481567056860923, 0.321468416174308, 0.36690099757096584, 0.17378642376237696, 0.2890582164570995, 0.37518728822609093, 0.3526603228812667, 0.35799999874619814, 0.3378944720004895, 0.41744451428929663]",13.286451612903226,11.92028020319784,14.652623022608612,0.3406449325997851,0.30720537968572575,0.3740844855138445
"{'hidden_layer_sizes': [180, 120, 60], 'max_iter': 500}","[11.546774193548387, 16.261290322580646, 12.333870967741936, 13.051612903225806, 12.824193548387097, 11.790322580645162, 12.135483870967741, 11.889516129032257, 19.713709677419356, 14.220967741935484, 10.887903225806452, 11.425806451612903, 15.99758064516129, 14.475806451612904, 10.741935483870968]","[0.3785460703713892, 0.2924744773986693, 0.29693654203023756, 0.36331545371204144, 0.38118512480773703, 0.40481567056860923, 0.321468416174308, 0.36690099757096584, 0.17378642376237696, 0.2890582164570995, 0.37518728822609093, 0.3526603228812667, 0.35799999874619814, 0.3378944720004895, 0.41744451428929663]",13.286451612903226,11.92028020319784,14.652623022608612,0.3406449325997851,0.30720537968572575,0.3740844855138445
"{'hidden_layer_sizes': [180, 120, 60], 'max_iter': 200}","[11.546774193548387, 16.261290322580646, 12.333870967741936, 13.051612903225806, 12.824193548387097, 11.790322580645162, 12.135483870967741, 11.889516129032257, 19.713709677419356, 14.220967741935484, 10.887903225806452, 11.425806451612903, 15.99758064516129, 14.475806451612904, 10.741935483870968]","[0.3785460703713892, 0.2924744773986693, 0.29693654203023756, 0.36331545371204144, 0.38118512480773703, 0.40481567056860923, 0.321468416174308, 0.36690099757096584, 0.17378642376237696, 0.2890582164570995, 0.37518728822609093, 0.3526603228812667, 0.35799999874619814, 0.3378944720004895, 0.41744451428929663]",13.286451612903226,11.92028020319784,14.652623022608612,0.3406449325997851,0.30720537968572575,0.3740844855138445
"{'hidden_layer_sizes': [120, 60, 30], 'max_iter': 500}","[11.591935483870968, 15.531451612903226, 12.823387096774194, 12.629032258064516, 13.024193548387096, 11.645967741935484, 11.724193548387097, 12.037096774193548, 18.39516129032258, 13.735483870967743, 10.750806451612902, 13.208064516129033, 16.65483870967742, 14.004032258064516, 11.776612903225807]","[0.376115464137334, 0.3242296151666817, 0.26903282037549403, 0.3839298075340192, 0.3715343834514496, 0.41210281112731106, 0.34446490127206864, 0.35904254831067184, 0.2290475895283215, 0.31332877070984, 0.38305471737960284, 0.2516848368259025, 0.3316235304787257, 0.35947284157596104, 0.36133200016265743]",13.302150537634411,12.134954487698415,14.469346587570406,0.33799977586906943,0.3089160928262737,0.36708345891186517
"{'hidden_layer_sizes': [120, 60, 30], 'max_iter': 200}","[11.591935483870968, 15.531451612903226, 12.823387096774194, 12.629032258064516, 13.024193548387096, 11.645967741935484, 11.724193548387097, 12.037096774193548, 18.39516129032258, 13.735483870967743, 10.750806451612902, 13.208064516129033, 16.65483870967742, 14.004032258064516, 11.776612903225807]","[0.376115464137334, 0.3242296151666817, 0.26903282037549403, 0.3839298075340192, 0.3715343834514496, 0.41210281112731106, 0.34446490127206864, 0.35904254831067184, 0.2290475895283215, 0.31332877070984, 0.38305471737960284, 0.2516848368259025, 0.3316235304787257, 0.35947284157596104, 0.36133200016265743]",13.302150537634411,12.134954487698415,14.469346587570406,0.33799977586906943,0.3089160928262737,0.36708345891186517
"{'hidden_layer_sizes': [120, 60, 30], 'max_iter': 1000}","[11.591935483870968, 15.531451612903226, 12.823387096774194, 12.629032258064516, 13.024193548387096, 11.645967741935484, 11.724193548387097, 12.037096774193548, 18.39516129032258, 13.735483870967743, 10.750806451612902, 13.208064516129033, 16.65483870967742, 14.004032258064516, 11.776612903225807]","[0.376115464137334, 0.3242296151666817, 0.26903282037549403, 0.3839298075340192, 0.3715343834514496, 0.41210281112731106, 0.34446490127206864, 0.35904254831067184, 0.2290475895283215, 0.31332877070984, 0.38305471737960284, 0.2516848368259025, 0.3316235304787257, 0.35947284157596104, 0.36133200016265743]",13.302150537634411,12.134954487698415,14.469346587570406,0.33799977586906943,0.3089160928262737,0.36708345891186517
"{'hidden_layer_sizes': [120, 60], 'max_iter': 200}","[12.160483870967742, 15.921774193548387, 11.764516129032257, 12.941129032258065, 14.408064516129032, 12.385483870967741, 12.962903225806452, 12.955645161290322, 16.572580645161292, 14.233870967741936, 10.713709677419354, 11.665322580645162, 16.592741935483872, 14.083064516129033, 11.151612903225807]","[0.34551586779788923, 0.3072467569570485, 0.32939128253806105, 0.36870508438687155, 0.3047574795506873, 0.37477148211988376, 0.27520489909528356, 0.310131216575837, 0.30543305413445876, 0.2884131518922426, 0.38518355115055314, 0.33909031412179014, 0.33411554036411883, 0.35585800359579645, 0.3952269327021316]",13.367526881720432,12.322019632125137,14.413034131315726,0.3346029744655102,0.3145381357041736,0.35466781322684676
"{'hidden_layer_sizes': [60, 30], 'max_iter': 1000}","[11.970967741935484, 14.870161290322581, 13.358870967741936, 13.903225806451612, 12.99274193548387, 12.52016129032258, 12.063709677419356, 12.345967741935484, 18.37983870967742, 13.876612903225807, 11.042741935483871, 11.431451612903226, 16.85241935483871, 14.537903225806451, 11.220161290322581]","[0.3557157332443708, 0.3530022261830025, 0.23850881513867417, 0.32177202310897135, 0.3730520403582853, 0.3679728649505922, 0.3254815282796034, 0.3425956299134447, 0.2296897682130632, 0.30627337703171775, 0.36630172118212456, 0.35234049102498277, 0.3236944081161114, 0.33505424215893165, 0.39150942397199573]",13.424462365591397,12.27126620836377,14.577658522819025,0.3321976195250581,0.30685406324943304,0.3575411758006832
"{'hidden_layer_sizes': [60, 30], 'max_iter': 500}","[11.970967741935484, 14.870161290322581, 13.358870967741936, 13.903225806451612, 12.99274193548387, 12.52016129032258, 12.063709677419356, 12.345967741935484, 18.37983870967742, 13.876612903225807, 11.042741935483871, 11.431451612903226, 16.85241935483871, 14.537903225806451, 11.220161290322581]","[0.3557157332443708, 0.3530022261830025, 0.23850881513867417, 0.32177202310897135, 0.3730520403582853, 0.3679728649505922, 0.3254815282796034, 0.3425956299134447, 0.2296897682130632, 0.30627337703171775, 0.36630172118212456, 0.35234049102498277, 0.3236944081161114, 0.33505424215893165, 0.39150942397199573]",13.424462365591397,12.27126620836377,14.577658522819025,0.3321976195250581,0.30685406324943304,0.3575411758006832
"{'hidden_layer_sizes': [60, 30, 15], 'max_iter': 500}","[11.260483870967741, 16.62741935483871, 11.941129032258065, 13.900806451612903, 14.246774193548386, 13.016935483870968, 11.501612903225807, 11.531451612903226, 17.263709677419357, 14.462903225806452, 11.10483870967742, 11.399193548387096, 17.41774193548387, 14.714516129032258, 11.166935483870967]","[0.39395437774798914, 0.276544275689633, 0.319323877196399, 0.3218900442186392, 0.31254033548317706, 0.3428953309608702, 0.35691005791320973, 0.38596739905495747, 0.2764674155647864, 0.27696325586603265, 0.3627382385655339, 0.3541681016323196, 0.30100740902961065, 0.32697618585631927, 0.39439596016245426]",13.437096774193547,12.168248603748307,14.705944944638787,0.33351615099612875,0.3107789623899287,0.3562533396023288
"{'hidden_layer_sizes': [60, 30, 15], 'max_iter': 1000}","[11.260483870967741, 16.62741935483871, 11.941129032258065, 13.900806451612903, 14.246774193548386, 13.016935483870968, 11.501612903225807, 11.531451612903226, 17.263709677419357, 14.462903225806452, 11.10483870967742, 11.399193548387096, 17.41774193548387, 14.714516129032258, 11.166935483870967]","[0.39395437774798914, 0.276544275689633, 0.319323877196399, 0.3218900442186392, 0.31254033548317706, 0.3428953309608702, 0.35691005791320973, 0.38596739905495747, 0.2764674155647864, 0.27696325586603265, 0.3627382385655339, 0.3541681016323196, 0.30100740902961065, 0.32697618585631927, 0.39439596016245426]",13.437096774193547,12.168248603748307,14.705944944638787,0.33351615099612875,0.3107789623899287,0.3562533396023288
"{'hidden_layer_sizes': [120, 60], 'max_iter': 1000}","[12.160483870967742, 15.921774193548387, 11.764516129032257, 12.941129032258065, 14.408064516129032, 12.385483870967741, 12.962903225806452, 12.955645161290322, 16.572580645161292, 14.233870967741936, 10.713709677419354, 13.206451612903226, 16.592741935483872, 14.083064516129033, 11.151612903225807]","[0.34551586779788923, 0.3072467569570485, 0.32939128253806105, 0.36870508438687155, 0.3047574795506873, 0.37477148211988376, 0.27520489909528356, 0.310131216575837, 0.30543305413445876, 0.2884131518922426, 0.38518355115055314, 0.2517762173562693, 0.33411554036411883, 0.35585800359579645, 0.3952269327021316]",13.470268817204303,12.456999483826054,14.483538150582552,0.32878203468114214,0.30551619038333305,0.35204787897895123
"{'hidden_layer_sizes': [120, 60], 'max_iter': 500}","[12.160483870967742, 15.921774193548387, 11.764516129032257, 12.941129032258065, 14.408064516129032, 12.385483870967741, 12.962903225806452, 12.955645161290322, 16.572580645161292, 14.233870967741936, 10.713709677419354, 13.206451612903226, 16.592741935483872, 14.083064516129033, 11.151612903225807]","[0.34551586779788923, 0.3072467569570485, 0.32939128253806105, 0.36870508438687155, 0.3047574795506873, 0.37477148211988376, 0.27520489909528356, 0.310131216575837, 0.30543305413445876, 0.2884131518922426, 0.38518355115055314, 0.2517762173562693, 0.33411554036411883, 0.35585800359579645, 0.3952269327021316]",13.470268817204303,12.456999483826054,14.483538150582552,0.32878203468114214,0.30551619038333305,0.35204787897895123
"{'hidden_layer_sizes': [60, 30], 'max_iter': 200}","[11.970967741935484, 15.26774193548387, 13.358870967741936, 13.903225806451612, 12.99274193548387, 12.52016129032258, 12.063709677419356, 12.345967741935484, 18.37983870967742, 13.885483870967741, 11.042741935483871, 11.786290322580646, 16.85241935483871, 14.537903225806451, 11.220161290322581]","[0.3557157332443708, 0.33570357102319015, 0.23850881513867417, 0.32177202310897135, 0.3730520403582853, 0.3679728649505922, 0.3254815282796034, 0.3425956299134447, 0.2296897682130632, 0.30582989514337855, 0.36630172118212456, 0.3322367743442768, 0.3236944081161114, 0.33505424215893165, 0.39150942397199573]",13.475215053763439,12.322127049689911,14.628303057836966,0.32967456260980094,0.30472236023148486,0.354626764988117
"{'hidden_layer_sizes': [60, 30, 15], 'max_iter': 200}","[11.260483870967741, 16.62741935483871, 11.941129032258065, 13.900806451612903, 14.246774193548386, 13.016935483870968, 11.501612903225807, 11.531451612903226, 17.263709677419357, 14.462903225806452, 11.10483870967742, 12.904838709677419, 17.41774193548387, 14.859677419354838, 11.166935483870967]","[0.39395437774798914, 0.276544275689633, 0.319323877196399, 0.3218900442186392, 0.31254033548317706, 0.3428953309608702, 0.35691005791320973, 0.38596739905495747, 0.2764674155647864, 0.27696325586603265, 0.3627382385655339, 0.2688643765348694, 0.30100740902961065, 0.3203366875254049, 0.39439596016245426]",13.547150537634405,12.310294263269729,14.784006811999081,0.3273866027675711,0.30310243613723853,0.35167076939790365
"{'hidden_layer_sizes': [180, 60], 'max_iter': 200}","[11.508064516129032, 15.790322580645162, 12.205645161290322, 12.866129032258064, 16.260483870967743, 12.904838709677419, 11.737096774193548, 12.156451612903226, 18.43790322580645, 14.487903225806452, 12.384677419354839, 10.986290322580645, 16.43225806451613, 14.540322580645162, 10.862096774193548]","[0.3806294471434365, 0.31296619061029274, 0.30424575412760857, 0.3723637387865737, 0.2153713791660421, 0.3485540602215381, 0.3437434429160604, 0.3526870811493412, 0.22725624898667307, 0.2757134432716225, 0.2892934734677489, 0.377561517406232, 0.3405559295484465, 0.3349435838534164, 0.41092794016235257]",13.570698924731182,12.30041585532167,14.840981994140694,0.32578754872115906,0.2949754496961565,0.3565996477461616
"{'hidden_layer_sizes': [180, 60], 'max_iter': 1000}","[11.508064516129032, 15.790322580645162, 12.205645161290322, 12.866129032258064, 16.260483870967743, 12.904838709677419, 11.737096774193548, 12.156451612903226, 18.43790322580645, 14.487903225806452, 12.384677419354839, 10.986290322580645, 16.43225806451613, 15.006451612903225, 10.862096774193548]","[0.3806294471434365, 0.31296619061029274, 0.30424575412760857, 0.3723637387865737, 0.2153713791660421, 0.3485540602215381, 0.3437434429160604, 0.3526870811493412, 0.22725624898667307, 0.2757134432716225, 0.2892934734677489, 0.377561517406232, 0.3405559295484465, 0.31362341699081386, 0.41092794016235257]",13.601774193548387,12.321984239116182,14.881564147980592,0.32436620426365226,0.2935420822453687,0.3551903262819358
"{'hidden_layer_sizes': [180, 60], 'max_iter': 500}","[11.508064516129032, 15.790322580645162, 12.205645161290322, 12.866129032258064, 16.260483870967743, 12.904838709677419, 11.737096774193548, 12.156451612903226, 18.43790322580645, 14.487903225806452, 12.384677419354839, 10.986290322580645, 16.43225806451613, 15.006451612903225, 10.862096774193548]","[0.3806294471434365, 0.31296619061029274, 0.30424575412760857, 0.3723637387865737, 0.2153713791660421, 0.3485540602215381, 0.3437434429160604, 0.3526870811493412, 0.22725624898667307, 0.2757134432716225, 0.2892934734677489, 0.377561517406232, 0.3405559295484465, 0.31362341699081386, 0.41092794016235257]",13.601774193548387,12.321984239116182,14.881564147980592,0.32436620426365226,0.2935420822453687,0.3551903262819358
"{'hidden_layer_sizes': [60, 30, 15, 7], 'max_iter': 1000}","[11.708870967741936, 16.155645161290323, 11.368548387096775, 13.496774193548386, 13.443548387096774, 11.694354838709678, 12.569354838709678, 14.32983870967742, 18.34032258064516, 14.15, 11.694354838709678, 10.948387096774194, 16.779032258064515, 16.114516129032257, 11.360483870967743]","[0.3698219301384412, 0.2970710774512765, 0.3519624972538419, 0.34159956953316384, 0.3512989580269763, 0.4096601941802601, 0.29720937895353294, 0.2369574595291657, 0.23134591324213438, 0.29260607156381235, 0.3289082932054326, 0.379708959869853, 0.3266395107079396, 0.2629419130648345, 0.3838994649244236]",13.610268817204304,12.326574002200926,14.893963632207681,0.32410874610967255,0.294391822146992,0.3538256700723531
"{'hidden_layer_sizes': [60, 30, 15, 7], 'max_iter': 500}","[11.708870967741936, 16.155645161290323, 11.368548387096775, 13.496774193548386, 13.443548387096774, 11.694354838709678, 12.569354838709678, 14.32983870967742, 18.34032258064516, 14.15, 11.694354838709678, 10.948387096774194, 16.779032258064515, 16.114516129032257, 11.360483870967743]","[0.3698219301384412, 0.2970710774512765, 0.3519624972538419, 0.34159956953316384, 0.3512989580269763, 0.4096601941802601, 0.29720937895353294, 0.2369574595291657, 0.23134591324213438, 0.29260607156381235, 0.3289082932054326, 0.379708959869853, 0.3266395107079396, 0.2629419130648345, 0.3838994649244236]",13.610268817204304,12.326574002200926,14.893963632207681,0.32410874610967255,0.294391822146992,0.3538256700723531
"{'hidden_layer_sizes': [60, 30, 15, 7], 'max_iter': 200}","[11.708870967741936, 16.155645161290323, 11.368548387096775, 13.496774193548386, 13.443548387096774, 11.924193548387096, 12.569354838709678, 14.32983870967742, 18.34032258064516, 14.15, 11.694354838709678, 10.948387096774194, 16.779032258064515, 16.114516129032257, 11.360483870967743]","[0.3698219301384412, 0.2970710774512765, 0.3519624972538419, 0.34159956953316384, 0.3512989580269763, 0.3980577636817686, 0.29720937895353294, 0.2369574595291657, 0.23134591324213438, 0.29260607156381235, 0.3289082932054326, 0.379708959869853, 0.3266395107079396, 0.2629419130648345, 0.3838994649244236]",13.625591397849464,12.349009884045909,14.902172911653018,0.32333525074310643,0.294311791040338,0.35235871044587486
"{'hidden_layer_sizes': [120, 60, 30, 15], 'max_iter': 200}","[11.82016129032258, 14.69516129032258, 16.138709677419357, 12.791129032258064, 14.345161290322581, 11.469354838709677, 12.987903225806452, 12.398387096774194, 18.111290322580643, 13.9, 12.154032258064516, 12.584677419354838, 17.06290322580645, 13.831451612903226, 11.236290322580645]","[0.36383222191880515, 0.3606164415373214, 0.0800506132541593, 0.37602239318627595, 0.3077927933643583, 0.4210183629840466, 0.2738070735305176, 0.3398043774439413, 0.2409447946351181, 0.3051041975079145, 0.30252926604365726, 0.2870034118126882, 0.3152474655175712, 0.3673664673693813, 0.39063471603549316]",13.70177419354839,12.560887842063929,14.842660545032851,0.31545163974275,0.2705656458150517,0.36033763367044824
"{'hidden_layer_sizes': [120, 60, 30, 15], 'max_iter': 1000}","[11.82016129032258, 14.995967741935484, 16.138709677419357, 12.791129032258064, 14.345161290322581, 11.469354838709677, 12.987903225806452, 12.398387096774194, 18.111290322580643, 13.9, 12.154032258064516, 12.584677419354838, 17.06290322580645, 13.831451612903226, 11.365322580645161]","[0.36383222191880515, 0.3475284123798975, 0.0800506132541593, 0.37602239318627595, 0.3077927933643583, 0.4210183629840466, 0.2738070735305176, 0.3398043774439413, 0.2409447946351181, 0.3051041975079145, 0.30252926604365726, 0.2870034118126882, 0.3152474655175712, 0.3673664673693813, 0.3836370525434727]",13.730430107526884,12.589004385589547,14.87185582946422,0.3141125935661203,0.26972743828928314,0.3584977488429575
"{'hidden_layer_sizes': [120, 60, 30, 15], 'max_iter': 500}","[11.82016129032258, 14.995967741935484, 16.138709677419357, 12.791129032258064, 14.345161290322581, 11.469354838709677, 12.987903225806452, 12.398387096774194, 18.111290322580643, 13.9, 12.154032258064516, 12.584677419354838, 17.06290322580645, 13.831451612903226, 11.365322580645161]","[0.36383222191880515, 0.3475284123798975, 0.0800506132541593, 0.37602239318627595, 0.3077927933643583, 0.4210183629840466, 0.2738070735305176, 0.3398043774439413, 0.2409447946351181, 0.3051041975079145, 0.30252926604365726, 0.2870034118126882, 0.3152474655175712, 0.3673664673693813, 0.3836370525434727]",13.730430107526884,12.589004385589547,14.87185582946422,0.3141125935661203,0.26972743828928314,0.3584977488429575
"{'hidden_layer_sizes': [180, 120, 60, 30], 'max_iter': 1000}","[11.551612903225806, 17.508064516129032, 12.305645161290322, 12.796774193548387, 14.280645161290323, 12.138709677419355, 11.479032258064516, 12.698387096774194, 19.270967741935483, 15.753225806451614, 12.243548387096775, 10.638709677419355, 16.391935483870967, 18.004032258064516, 11.469354838709677]","[0.3782856482748833, 0.2382275790678986, 0.2985454880894073, 0.37574701059705096, 0.31090593573735426, 0.3872288285498432, 0.358172610036224, 0.3238298248492455, 0.19234200786360234, 0.21245679938034367, 0.2973922975963642, 0.39725402170028723, 0.3421741177857147, 0.17651777645743327, 0.3779951863530313]",13.902043010752688,12.367740432285428,15.436345589219949,0.31113834215591224,0.2699803739415849,0.35229631037023956
"{'hidden_layer_sizes': [180, 120, 60, 30], 'max_iter': 500}","[11.551612903225806, 17.508064516129032, 12.305645161290322, 12.796774193548387, 14.280645161290323, 12.138709677419355, 11.479032258064516, 12.698387096774194, 19.270967741935483, 15.753225806451614, 12.243548387096775, 10.638709677419355, 16.391935483870967, 18.004032258064516, 11.469354838709677]","[0.3782856482748833, 0.2382275790678986, 0.2985454880894073, 0.37574701059705096, 0.31090593573735426, 0.3872288285498432, 0.358172610036224, 0.3238298248492455, 0.19234200786360234, 0.21245679938034367, 0.2973922975963642, 0.39725402170028723, 0.3421741177857147, 0.17651777645743327, 0.3779951863530313]",13.902043010752688,12.367740432285428,15.436345589219949,0.31113834215591224,0.2699803739415849,0.35229631037023956
"{'hidden_layer_sizes': [180, 120, 60, 30], 'max_iter': 200}","[11.551612903225806, 17.508064516129032, 12.305645161290322, 12.796774193548387, 14.280645161290323, 12.138709677419355, 11.479032258064516, 12.698387096774194, 19.270967741935483, 15.753225806451614, 12.243548387096775, 10.638709677419355, 16.391935483870967, 18.004032258064516, 11.469354838709677]","[0.3782856482748833, 0.2382275790678986, 0.2985454880894073, 0.37574701059705096, 0.31090593573735426, 0.3872288285498432, 0.358172610036224, 0.3238298248492455, 0.19234200786360234, 0.21245679938034367, 0.2973922975963642, 0.39725402170028723, 0.3421741177857147, 0.17651777645743327, 0.3779951863530313]",13.902043010752688,12.367740432285428,15.436345589219949,0.31113834215591224,0.2699803739415849,0.35229631037023956
